descricao,categoria,previsto,real,diferenca
Aluguel/IPTU,Moradia,1200.0,1200.0,0.0
Internet + plano movel (2),Moradia,165.0,179.43,14.430000000000007
Pagamento de veiculo,Transporte,344.0,344.0,0.0
Corte de cabelo Renato,Cuidados pessoais,109.0,109.0,0.0
Unhas Ana,Cuidados pessoais,77.0,0.0,-77.0
Academia (2) (cartão),Cuidados pessoais,199.0,184.0,-15.0
Yoga (cartão),Cuidados pessoais,117.0,0.0,-117.0
Cartao de todos (cartão),Cuidados pessoais,33.0,2476.0,2443.0
Meli+,Entretenimento,89.0,89.0,0.0
IPTV,Entretenimento,35.0,0.0,-35.0
Apple cloud (cartão),Extra,67.0,67.0,0.0
Spotify,Extra,31.0,31.0,0.0
ChatGPT,Gastos profissionais,99.0,168.0,69.0
MEI Ana,Gastos profissionais,81.0,86.05,5.049999999999997
Impostos Renato,Gastos profissionais,500.0,630.0,130.0
Faxinha,Extra,300.0,0.0,-300.0
Sofa,Moradia,467.0,467.0,0.0
Agua,Moradia,120.0,103.9,-16.099999999999994
Energia,Moradia,200.0,290.08,90.07999999999998
Mercado,Alimentação,1700.0,1854.4199999999998,154.41999999999985
Suplementos (2),Alimentação,280.0,196.0,-84.0
Vitaminas (2),Alimentação,0.0,0.0,0.0
Pets,Animais de estimação,150.0,403.69,253.69
Cuidados pessoais extra,Cuidados pessoais,150.0,192.49,42.49000000000001
Entretenimento,Entretenimento,400.0,638.2,238.20000000000005
Farmacia,Cuidados pessoais,150.0,401.73,251.73000000000002
Comida fora,Extra,150.0,684.48,534.48
Gastos inesperados,Extra,800.0,45.6,-754.4
Carro,Transporte,400.0,404.69,4.689999999999998
Apartamento,Poupanças,2500.0,0.0,-2500.0
Exames Ana,Saúde,0.0,676.53,676.53
Liquidificador,Casa,0.0,300.0,300.0
Óculos,Vestuário,0.0,84.42,84.42
Embalagens (AGAYA),Investimentos,0.0,3807.39,3807.39
transporte,,0.0,250.0,250.0
