descricao,categoria,previsto,real,diferenca
Aluguel/IPTU,Moradia,1200.0,1200.0,0.0
Internet + plano movel (2),Moradia,165.0,142.87,-22.129999999999995
Pagamento de veiculo,Transporte,344.0,344.0,0.0
Corte de cabelo Renato,Cuidados pessoais,109.0,110.0,1.0
Unhas Ana,Cuidados pessoais,77.0,0.0,-77.0
Academia (2) (cartão),Cuidados pessoais,199.0,184.0,-15.0
Yoga (cartão),Cuidados pessoais,117.0,0.0,-117.0
Cartao de todos (cartão),Cuidados pessoais,33.0,2776.0,2743.0
Meli+,Entretenimento,89.0,89.0,0.0
IPTV,Entretenimento,35.0,35.0,0.0
Apple cloud (cartão),Extra,67.0,113.78,46.78
Spotify,Extra,31.0,31.0,0.0
ChatGPT,Gastos profissionais,99.0,99.0,0.0
MEI Ana,Gastos profissionais,81.0,86.05,5.049999999999997
Impostos Renato,Gastos profissionais,500.0,610.0,110.0
Faxinha,Extra,300.0,0.0,-300.0
Sofa,Moradia,467.0,467.0,0.0
Agua,Moradia,120.0,114.13,-5.8700000000000045
Energia,Moradia,200.0,307.15,107.14999999999998
Mercado,Alimentação,1700.0,1736.3030000000003,36.30300000000034
Suplementos (2),Alimentação,280.0,315.0,35.0
Vitaminas (2),Alimentação,0.0,0.0,0.0
Pets,Animais de estimação,150.0,317.28,167.27999999999997
Cuidados pessoais extra,Cuidados pessoais,150.0,250.0,100.0
Entretenimento,Entretenimento,400.0,246.0,-154.0
Farmacia,Cuidados pessoais,150.0,548.34,398.34000000000003
Comida fora,Extra,150.0,684.12,534.12
Gastos inesperados,Extra,800.0,472.58,-327.42
Carro,Transporte,400.0,554.69,154.69000000000005
Apartamento,Poupanças,2500.0,0.0,-2500.0
Exames Ana,Saúde,0.0,450.57,450.57
Liquidificador,Casa,0.0,300.0,300.0
Óculos,Vestuário,0.0,0.0,0.0
Embalagens (AGAYA),Investimentos,0.0,3600.0,3600.0
transporte,,0.0,0.0,0.0
Animed,,0.0,120.5,120.5
lazer,,0.0,760.9,760.9
Jeff Mills,,0.0,119.97,119.97
