descricao,categoria,previsto,real,diferenca
Aluguel/IPTU,Moradia,1200.0,1200.0,0.0
Internet + plano movel (2),Moradia,165.0,194.0,29.0
Pagamento de veiculo,Transporte,344.0,344.0,0.0
Corte de cabelo Renato,Cuidados pessoais,109.0,109.0,0.0
Unhas Ana,Cuidados pessoais,77.0,0.0,-77.0
Academia (2) (cartão),Cuidados pessoais,199.0,184.0,-15.0
Yoga (cartão),Cuidados pessoais,117.0,0.0,-117.0
Cartao de todos (cartão),Cuidados pessoais,33.0,33.0,0.0
Meli+,Entretenimento,89.0,89.0,0.0
IPTV,Entretenimento,35.0,0.0,-35.0
Apple cloud (cartão),Extra,67.0,884.49,817.49
Spotify,Extra,31.0,31.0,0.0
ChatGPT,Gastos profissionais,99.0,99.0,0.0
MEI Ana,Gastos profissionais,81.0,86.05,5.049999999999997
Impostos Renato,Gastos profissionais,500.0,620.0,120.0
Faxinha,Extra,300.0,0.0,-300.0
Sofa,Moradia,467.0,467.0,0.0
Agua,Moradia,120.0,83.43,-36.56999999999999
Energia,Moradia,200.0,255.08999999999997,55.089999999999975
Mercado,Alimentação,1700.0,1726.83,26.829999999999927
Suplementos (2),Alimentação,280.0,316.5,36.5
Vitaminas (2),Alimentação,0.0,0.0,0.0
Pets,Animais de estimação,150.0,0.0,-150.0
Cuidados pessoais extra,Cuidados pessoais,150.0,100.0,-50.0
Entretenimento,Entretenimento,400.0,1060.27,660.27
Farmacia,Cuidados pessoais,150.0,93.95,-56.05
Comida fora,Extra,150.0,210.76999999999998,60.76999999999998
Gastos inesperados,Extra,800.0,864.6500000000001,64.65000000000009
Carro,Transporte,400.0,554.69,154.69000000000005
Apartamento,Poupanças,2500.0,0.0,-2500.0
Exames Ana,Saúde,0.0,284.32000000000005,284.32000000000005
Liquidificador,Casa,0.0,355.0,355.0
Óculos,Vestuário,0.0,84.42,84.42
Embalagens (AGAYA),Investimentos,0.0,3547.46,3547.46
