descricao,categoria,previsto,real,diferenca
patrocinio,Mercado,0.0,31.03,31.03
droga raia,Farmácia,0.0,59.58,59.58
lanche,Pedidos de Comida,0.0,44.0,44.0
IPTU 2/8,Gastos Inesperados,0.0,114.0,114.0
Aluguel,Moradia,1200.0,1200.0,0.0
beck,Mercado,0.0,10.89,10.89
droga farma,Farmácia,0.0,37.0,37.0
mc,Pedidos de Comida,0.0,30.0,30.0
diferença presente,Gastos Inesperados,0.0,20.0,20.0
IPVA 3/5,Carro,0.0,354.69,354.69
estrela,Mercado,0.0,58.55,58.55
time warp 4/4,Entretenimento,0.0,277.1,277.1
raia,Farmácia,0.0,14.91,14.91
po,Pedidos de Comida,0.0,57.0,57.0
area azul,Gastos Inesperados,0.0,6.0,6.0
gas,Carro,0.0,50.0,50.0
Luz,Moradia,174.0,174.0,0.0
emporio,Mercado,0.0,21.0,21.0
droga farma,Farmácia,0.0,25.78,25.78
po,Pedidos de Comida,0.0,55.5,55.5
protetor garrafa/meia,Gastos Inesperados,0.0,28.47,28.47
gas,Carro,0.0,211.86,211.86
areia,Pets,0.0,64.59,64.59
Luz ADM,Moradia,0.0,0.0,0.0
mercado livre,Mercado,0.0,200.43,200.43
ingresso carna 2/2,Entretenimento,0.0,173.33,173.33
drogaria zago,Farmácia,0.0,52.5,52.5
trident,Gastos Inesperados,0.0,35.2,35.2
petz,Pets,0.0,13.0,13.0
Água,Moradia,103.9,103.9,0.0
patrocinio,Mercado,0.0,35.92,35.92
Airbnb praia 2/6,Entretenimento,0.0,87.0,87.0
lampada,Gastos Inesperados,0.0,30.95,30.95
mecanico 2/3,Carro,0.0,116.49,116.49
pates,Pets,0.0,81.0,81.0
Faxina,Casa,300.0,300.0,0.0
patrocinio,Mercado,0.0,26.4,26.4
Airbnb SP 2/4,Entretenimento,0.0,115.2,115.2
comedor automatic 1/2,Gastos Inesperados,0.0,222.0,222.0
Corte de cabelo Renato,Cuidados Pessoais,89.0,89.0,0.0
amarelinha,Mercado,0.0,52.0,52.0
Airbnb TW 2/6,Entretenimento,0.0,129.0,129.0
uber,Gastos Inesperados,0.0,10.93,10.93
MEI Ana,Impostos,86.05,86.05,0.0
perola,Mercado,0.0,22.89,22.89
gas mochakk,Entretenimento,0.0,25.0,25.0
estac medico,Gastos Inesperados,0.0,9.0,9.0
Impostos Renato,Impostos,656.61,656.61,0.0
beck,Mercado,0.0,23.2,23.2
exames Ana 1/2,Gastos Inesperados,0.0,93.75,93.75
Pagamento de veiculo,Transporte,343.79,343.79,0.0
perola,Mercado,0.0,13.06,13.06
chips,Gastos Inesperados,0.0,30.0,30.0
patrocinio,Mercado,0.0,25.55,25.55
IPTV,Entretenimento,35.0,35.0,0.0
beck,Mercado,0.0,13.85,13.85
Suplementos,Saúde,169.0,169.0,0.0
beck,Mercado,0.0,11.99,11.99
beck,Mercado,0.0,11.99,11.99
patrocinio,Mercado,0.0,17.12,17.12
padaria,Mercado,0.0,2.42,2.42
patrocinio,Mercado,0.0,10.12,10.12
marmita,Mercado,0.0,50.0,50.0
patrocinio,Mercado,0.0,10.99,10.99
Evolucao de Obra,Casa,744.13,744.13,0.0
patrocinio,Mercado,0.0,35.76,35.76
Entrada AP,Moradia,2093.0,2093.0,0.0
eggs,Mercado,0.0,50.0,50.0
Sofa,Móveis,467.0,467.0,0.0
patrocinio,Mercado,0.0,65.39,65.39
patrocinio,Mercado,0.0,16.48,16.48
beck,Mercado,0.0,9.99,9.99
patrocinio,Mercado,0.0,93.02,93.02
patrocinio,Mercado,0.0,51.19,51.19
beck,Mercado,0.0,4.5,4.5
beck,Mercado,0.0,9.99,9.99
beck,Mercado,0.0,9.08,9.08
