id,data,descricao,nota,categoria,grupo,valor,conta_cartao,recorrente
34af3763-d437-4674-8224-ff07c170bb2f,2026-07-05,Beck,,Entretenimento,Lazer,99.08,Cartão Renato,False
4a9a27be-0ecb-432a-a960-5e415a9ec176,2026-07-05,PO,,Alimentação,Comida,55.5,Cartão Renato,False
a09f48e8-a727-4311-935e-1b51778ee30b,2026-07-05,Bar do ademir,,Entretenimento,Lazer,19.0,Cartão Renato,False
c1d79a24-3531-436f-b519-a8984ba141be,2026-07-05,Farmacia,,Saúde,Farmácia,102.72,Cartão Renato,False
fb217f16-6994-4b01-a9a1-12c921959ee2,2026-07-05,Patrocinio,,Alimentação,Mercado,20.51,Cartão Renato,False
84a886af-e3f4-4b06-9cdc-37a8a7bc562c,2026-07-05,Perola,,Alimentação,Mercado,37.14,Cartão Renato,False
2b8fb160-6af4-4a36-a0f7-fdd1c37686e6,2026-07-05,Farma,,Saúde,Farmácia,38.27,Cartão Renato,False
7c6daf7a-0733-4eb3-892d-2d3b33b04103,2026-07-01,Farmacia,,Cuidados pessoais,Farmácia,38.27,Cartão Ana,False
4b73c0cb-2d13-49d2-a47a-db74f8070af1,2026-07-09,Petz,Areia,Animais de estimação,Pets,70.19,Cartão Ana,False
2709d945-a50a-4dac-82d7-9b9989a68934,2026-07-09,Patrocinio,,Alimentação,Mercado,46.99,Cartão Ana,False
8ed37c12-5b5c-432d-b740-1b3e355c34b1,2026-07-09,Farmacia,,Cuidados pessoais,Farmácia,30.0,Cartão Ana,False
2292c2bd-b1e1-4cc4-962c-bf7ca21a3cda,2026-07-11,Mercado,,Alimentação,Mercado,15.98,Cartão Ana,False
14fb5d60-a2b3-4700-8b2f-f33e3be86a96,2026-07-11,Estrela Frios,,Alimentação,Mercado,50.74,Cartão Ana,False
ae3f326f-8904-454e-9cf3-79e9b99801e8,2026-07-12,Amazon Prime,,,Gastos inesperados,19.9,Cartão Ana,False
ed6d1263-cfa2-4183-b47c-a7e8eda15cda,2026-07-08,Posto,gasolina e limpador,Transporte,Carro,104.99,Cartão Ana,False
b054a675-7127-459e-a4e3-0412467943b3,2026-07-08,Patrocinio,,Alimentação,Mercado,15.75,Cartão Ana,False
f9579195-1bfb-4d77-a5e6-bcca9435da0b,2026-07-08,Pate,,Animais de estimação,Pets,34.75,Cartão Ana,False
dddaf7e3-3ab3-43e6-b116-caa50f912407,2026-07-08,Amor e Saude,,Cuidados pessoais,Saúde,297.0,Cartão Ana,False
a8444bd4-c48d-454f-80dd-5926f1fc69cc,2026-07-09,Carro,peça + mecanico,Transporte,Carro,152.0,Pix,False
d5e05d04-093e-4f28-92bc-bb7b20edce14,2026-07-02,Fisio,,Cuidados pessoais,Saúde,80.0,Pix,False
8c711e94-5f28-4919-89f1-b3b5aa694003,2026-07-12,Paia,,Entretenimento,Entretenimento,33.0,Cartão Renato,False
6b29c900-4431-4612-ab45-50edbd9f82b9,2026-07-12,Amarelinha,,Entretenimento,Entretenimento,121.5,Cartão Renato,False
3f84cc79-b027-459f-a89d-439c6735571d,2026-07-12,barbudus,,Entretenimento,Entretenimento,112.72,Cartão Renato,False
e81722ef-8ebb-45dd-aa4b-39d0fcc73882,2026-07-12,Beck,,Alimentação,Comida,11.65,Cartão Renato,False
dd25cde5-7637-4130-814b-2715fc40dbeb,2026-07-12,Marmita,,Alimentação,Comida,43.5,Cartão Renato,False
f063107e-6a52-4f58-b91d-2868a67b5e46,2026-07-12,Beck,,Alimentação,Comida,8.65,Cartão Renato,False
d3b0c530-795d-476b-83b8-7dbc5bc715bf,2026-07-14,Ovos,,Alimentação,Mercado,40.0,Cartão Renato,False
06133782-f0a3-4845-b49e-31da8bcee2ce,2026-07-14,Erva,,Entretenimento,Entretenimento,100.0,Pix,False
cda57154-3ae3-477d-a461-fd5e74eb1db5,2026-07-09,Marmitex,,Alimentação,Comida,35.0,Cartão Ana,False
95225c90-87d7-4617-9ec0-466381871c4d,2026-07-09,YES,,Entretenimento,Entretenimento,32.0,Cartão Ana,False
f26b7bce-e1b0-4ae4-b27e-c5bb4adc89b0,2026-07-09,Giba,,,Gastos inesperados,36.0,Cartão Ana,False
0ce063eb-9fce-4526-974e-48cf7f44e231,2026-07-10,Patrocinio,,Alimentação,Mercado,74.53,Cartão Ana,False
2a1ea9d3-e82d-4a39-87ab-ceb83e016c93,2026-07-10,Boca Cheia,,Alimentação,Comida,78.98,Cartão Ana,False
c3737b94-a744-40fe-96dd-eaced162bfde,2026-07-11,Beck,,Alimentação,Mercado,15.0,Cartão Ana,False
da12b6fc-bfcf-4bce-89a3-f3d18632669c,2026-07-12,Patrocinio,,Alimentação,Mercado,21.48,Cartão Ana,False
024d4ad1-355b-4bfe-8579-39a8e8073678,2026-07-12,Droga Raia,,Saúde,Farmácia,13.2,Cartão Ana,False
df8a140d-66ec-4633-a304-2deadfefc36f,2026-07-12,Strong Now,pasta de amendoim,Alimentação,Mercado,29.9,Cartão Ana,False
50a9ab7c-47a4-4ea6-babb-07da76328a5c,2026-07-14,Paulistao,,Alimentação,Mercado,462.12,Cartão Ana,False
63e1a339-5b22-4b9c-9add-7970c0d717f2,2026-07-14,Prado Carnes,,Alimentação,Mercado,226.0,Cartão Ana,False
94dcb1a4-aee1-41e5-ac5a-148ac3109fc8,2026-07-14,Farmacia,,Saúde,Farmácia,25.99,Cartão Ana,False
4979a212-49c4-454c-95e9-17c9d426466a,2026-07-16,Perola,,Alimentação,Mercado,13.72,Cartão Ana,False
889569f7-d7b8-49ab-a4a6-56b9e1f978b1,2026-07-16,Fisio,,Saúde,Saúde,160.0,Pix,False
192fd412-4c7a-4111-85c2-777343a9e92e,2026-07-23,Mercado,,Alimentação,Mercado,41.98,Cartão Ana,False
6dfd969d-fc56-4b94-8387-322061b6342b,2026-07-23,Patrocinio,,Alimentação,Mercado,18.24,Cartão Ana,False
d41adc20-8307-40d7-8755-7d3b2c316ed8,2026-07-23,Banho cachorro,,,Gastos inesperados,60.0,Cartão Ana,False
c241bf8f-0777-4441-9d16-cdbc3cb3f1b4,2026-07-25,Padaria,,Alimentação,Mercado,16.95,Cartão Ana,False
9f586127-1a54-4904-b3b0-d8fb20c68ce3,2026-07-25,Pizza,,Alimentação,Comida,76.0,Cartão Ana,False
2249726e-ddaf-4b54-8584-6d200b00db61,2026-07-26,Paia,,Entretenimento,Lazer,33.0,Cartão Ana,False
31e76485-e6ad-48e3-90be-8225a60d7fcf,2026-07-30,Uber Maderlene,,Casa,Casa,10.96,Cartão Renato,False
5dea64fe-6525-4b7e-bb0d-f776df136438,2026-07-30,Posto Sorriso,,Transporte,Transporte,13.08,Cartão Renato,False
45721b75-1be2-4dee-a31d-11e15ef33d82,2026-07-30,Marmita,,Alimentação,Comida,44.0,Cartão Renato,False
8e6b8119-a1cb-4cef-a1a5-83947bf4e8a0,2026-07-30,Carrao,conserto vidro motorista,Transporte,Gastos inesperados,70.0,Cartão Renato,False
